entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
0,0,K0,0,press,top,0.0,0.7,45,200,3,34656,13830,5750,,54235,0.6389911423116575,0.25499483219309077,0.10601402549525162,,0.5288018798828125,0.21102287292480468,0.08773269653320312,,0.8275574493408203,1402.8230274699656,742.6495680837631,565.6379031677421,
1,0,K0,0,press,middle,0.0,2.0,45,200,3,41929,30028,6573,,78529,0.5339227771920806,0.38238072395570627,0.08369649885221317,,0.6397801208496093,0.4581928253173828,0.10029045104980469,,1.1982633972167969,2459.1932423256208,1336.49478838303,616.391338173242,
2,0,K0,0,press,bottom,0.0,3.3,45,200,3,22143,34207,4879,,61229,0.36164727473254515,0.5586748673984653,0.07967785786898944,,0.3378826904296875,0.5219631958007812,0.07444206237792969,,0.9342879486083985,1085.1799756722385,1612.0497838466404,487.3776582641022,
3,1,K1,0,press,top,0.0,0.7,45,200,3,621156,69879,41859,,732894,0.8475390858518898,0.09534671814825645,0.05711419599985379,,9.478089370727538,1.066269073486328,0.6387120819091797,,11.183070526123046,25177.44614512709,3242.319711240704,2293.035730592744,
4,1,K1,0,press,middle,0.0,2.0,45,200,3,670473,432758,46302,,1149534,0.583256572853793,0.3764641084717494,0.040279318674457706,,10.23060646057129,6.603365173339844,0.7065190124511719,,17.540490646362304,23381.671773300877,16247.123911031145,2081.961874074547,
5,1,K1,0,press,bottom,0.0,3.3,45,200,3,247448,597721,26643,,871813,0.28383165737678345,0.6856073591233992,0.030560983499817323,,3.7757591247558593,9.12050567626953,0.40654701232910156,,13.302811813354491,8047.917181948383,18349.490096959096,1292.5157944005946,
6,2,K2,0,press,top,0.0,0.7,45,200,3,635684,88517,599903,,1324103,0.4800863326986824,0.0668502515555491,0.4530634157457685,,9.699765548706054,1.3506565856933594,9.153788833618163,,20.204210968017577,20300.793907819836,3046.8126235625323,19902.27782209803,
7,2,K2,0,press,middle,0.0,2.0,45,200,3,675948,601792,652283,,1930022,0.3502279223918829,0.3118056237164768,0.3379664538916403,,10.314142227172852,9.182613220214844,9.95304443359375,,29.449799880981445,18766.4807980712,16886.743396889764,18080.660046624405,
8,2,K2,0,press,bottom,0.0,3.3,45,200,3,347182,564910,303061,,1215154,0.2857104672672703,0.4648880691590211,0.2494014635737087,,5.297578887939453,8.619849472045898,4.624345550537109,,18.54177391052246,11776.218189771282,21817.634852750998,9766.903669940642,
9,3,K3,0,press,top,0.0,0.7,45,200,3,43213,16667,597040,,656920,0.06578117068216718,0.02537139322030815,0.9088474360975247,,0.6593775177001953,0.2543178558349609,9.110107955932618,,10.023803329467773,2036.9507833462742,1017.6548159248301,19472.94066323253,
10,3,K3,0,press,middle,0.0,2.0,45,200,3,49487,39107,650128,,738722,0.06698976279789016,0.052939165844921296,0.8800710713571884,,0.7551091766357422,0.5967307281494141,9.920168609619141,,11.272008514404298,2215.926485191916,2188.145462709232,23501.03308689003,
11,3,K3,0,press,bottom,0.0,3.3,45,200,3,30555,59311,315986,,405852,0.07528552638985397,0.1461387935739042,0.7785756800362418,,0.4662286376953125,0.9050091552734375,4.8215679168701175,,6.192805709838868,1206.5413885980042,2458.987030791338,11363.171349116188,
12,4,K4,0,press,top,0.0,0.7,45,200,3,3779,2303,35902,,41984,0.09000668118822729,0.054857438210918326,0.8551358806008543,,0.057659912109375,0.03514266967773438,0.5478155517578125,,0.6406181335449219,208.66274224211662,247.47817661361577,1508.0654164856378,
13,4,K4,0,press,middle,0.0,2.0,45,200,3,4118,3609,42936,,50663,0.08128855531916972,0.07122942092028753,0.8474820237605427,,0.06284111022949218,0.05506477355957031,0.6551563262939453,,0.7730622100830078,217.75029041312436,339.53142619645683,1863.853821890279,
14,4,K4,0,press,bottom,0.0,3.3,45,200,3,3296,4099,25628,,33022,0.09980740083489922,0.12411486904922334,0.7760777301158774,,0.05029045104980469,0.06253837585449219,0.391046142578125,,0.5038749694824218,152.44073528752082,352.70338781332964,1214.3970726249302,
15,0,K0,1,hover-low,top,0.0,0.7,45,200,3,15782,6842,2783,,25407,0.6211493111921945,0.269299911974135,0.10955077683367047,,0.24081008911132812,0.10440345764160157,0.04247116088867187,,0.38768470764160157,636.2711820442602,289.8222572112087,384.08117358183546,
16,0,K0,1,hover-low,middle,0.0,2.0,45,200,3,18467,13496,3194,,35156,0.525278310517382,0.383877154395404,0.09084453508721405,,0.28178184509277343,0.20592819213867186,0.04873291015625,,0.5364429473876953,656.6340411332632,532.5884301221723,421.2214529199575,
17,0,K0,1,hover-low,bottom,0.0,3.3,45,200,3,12942,18667,2937,,34545,0.3746302680827782,0.5403609174041042,0.08500881451311755,,0.1974748992919922,0.28483474731445313,0.04480979919433594,,0.5271194458007813,672.6413113799955,914.343264370663,407.78517135251496,
18,1,K1,1,hover-low,top,0.0,0.7,45,200,3,159740,38741,20050,,218531,0.7309743085818295,0.17727866070539516,0.09174703071277536,,2.437442398071289,0.5911377716064453,0.3059315490722656,,3.33451171875,5981.218195683468,1507.0245873823692,725.3979729086648,
19,1,K1,1,hover-low,middle,0.0,2.0,45,200,3,174077,109542,19996,,303615,0.5733466675260872,0.36079205526543895,0.06586127720847389,,2.6562026214599608,1.6714788055419922,0.30512237548828125,,4.632803802490234,5500.127004349536,3360.8810174974956,830.3734461072319,
20,1,K1,1,hover-low,bottom,0.0,3.3,45,200,3,74813,151656,12594,,239062,0.31294206814028186,0.6343789682367881,0.05267896362293009,,1.1415509796142578,2.3140894317626954,0.1921624755859375,,3.6478028869628907,2465.4805020066574,5000.442106231708,622.5440116168495,
21,2,K2,1,hover-low,top,0.0,0.7,45,200,3,156940,40351,128737,,326027,0.48136980757664954,0.12376505611683158,0.394865136306519,,2.394707260131836,0.6157035064697266,1.9643658447265624,,4.974776611328124,6141.186187437652,1962.8890034780368,4179.487343873648,
22,2,K2,1,hover-low,middle,0.0,2.0,45,200,3,185771,122158,154034,,461962,0.4021338522387434,0.2644319042880925,0.3334342434731641,,2.834634780883789,1.863976058959961,2.3503723907470704,,7.048983230590821,7510.9772862374575,4572.012228633581,5318.281145725092,
23,2,K2,1,hover-low,bottom,0.0,3.3,45,200,3,83239,196890,69054,,349183,0.2383830987651535,0.5638587484150167,0.19775815281982986,,1.270133056640625,3.004305419921875,1.0536785888671876,,5.328117065429687,2501.352479439873,5808.724858727602,1593.7004503983803,
24,3,K3,1,hover-low,top,0.0,0.7,45,200,3,17341,8638,120810,,146788,0.11813345195323453,0.0588456421066859,0.8230209059400796,,0.2645964813232422,0.1318030548095703,1.843410415649414,,2.2398099517822265,1267.1326729963994,855.696553092859,7179.795470622753,
25,3,K3,1,hover-low,middle,0.0,2.0,45,200,3,19069,16351,145420,,180840,0.10544890802501958,0.09041677976157873,0.8041343122134017,,0.29097564697265627,0.24949600219726562,2.2189276885986327,,2.7593993377685546,1283.6099429343792,1278.315923040936,7158.022722021425,
26,3,K3,1,hover-low,bottom,0.0,3.3,45,200,3,12267,21443,71215,,104925,0.11691610010173413,0.2043625638792798,0.6787213360189861,,0.1871868133544922,0.3271916961669922,1.0866568756103516,,1.601035385131836,720.678783769163,1341.0422505555148,3088.5855280330184,
27,4,K4,1,hover-low,top,0.0,0.7,45,200,3,2208,1536,17280,,21024,0.1050120364790219,0.07307101213446418,0.8219169513865139,,0.033687286376953125,0.023440780639648436,0.2636664581298828,,0.3207945251464844,282.2367926050748,315.21773232957565,1550.768019071518,
28,4,K4,1,hover-low,middle,0.0,2.0,45,200,3,2504,2185,20851,,25540,0.09802936570086139,0.08555873140172279,0.8164119028974158,,0.038202972412109376,0.033343048095703126,0.3181634521484375,,0.38970947265625,254.68629939594317,354.48331568636627,1257.6387495620513,
29,4,K4,1,hover-low,bottom,0.0,3.3,45,200,3,1865,2335,12595,,16796,0.11104515432993697,0.13904281560964804,0.749912030060415,,0.02845855712890625,0.03563377380371094,0.1921868133544922,,0.2562791442871094,167.21314661234027,324.1438692540706,858.9468731970563,
30,0,K0,2,hover-high,top,0.0,0.7,45,200,3,8290,3977,1670,,13937,0.5948235316065285,0.28535009361827923,0.11982637477519237,,0.1264954376220703,0.06068267822265625,0.025482330322265625,,0.21266044616699217,293.93622603381164,157.10942046866572,234.05802677968555,
31,0,K0,2,hover-high,middle,0.0,2.0,45,200,3,8590,6482,1734,,16806,0.5111163011414266,0.38568880545171363,0.10319489340685987,,0.131068115234375,0.09890411376953125,0.026462783813476564,,0.2564350128173828,265.8838799175309,231.41629501830678,256.37372091343525,
32,0,K0,2,hover-high,bottom,0.0,3.3,45,200,3,6037,7309,1463,,14809,0.40764169057986943,0.49358268565947266,0.09877562376065796,,0.09211227416992188,0.11153182983398438,0.02231971740722656,,0.2259638214111328,289.5006063896931,413.69922347038556,240.8451576739711,
