entry_index,key_id,key_name,z_layer_id,z_layer_name,position_label,local_x_cm,local_y_cm,frequency_hz,sample_count,sensor_count,h2_s1_q16,h2_s2_q16,h2_s3_q16,h2_s4_q16,h2_total_q16,f1,f2,f3,f4,h2_s1_g2,h2_s2_g2,h2_s3_g2,h2_s4_g2,h2_total_g2,std_s1_q16,std_s2_q16,std_s3_q16,std_s4_q16
0,0,K0,0,press,top,0.0,0.7,45,200,3,22191,10092,3991,,36274,0.6117565523655119,0.2782186216513834,0.11002482598310465,,0.3386102294921875,0.153995361328125,0.060899276733398434,,0.553504867553711,1048.512801257095,551.8151342614663,450.8212128715773,
1,0,K0,0,press,middle,0.0,2.0,45,200,3,22406,16285,3937,,42629,0.5256178649804768,0.3820295740071525,0.09235256101237078,,0.34189422607421877,0.24849555969238282,0.06007179260253906,,0.6504615783691406,1234.3138156887007,873.1764947449055,452.41748062492013,
2,0,K0,0,press,bottom,0.0,3.3,45,200,3,14101,22869,3332,,40302,0.34987835020773694,0.5674337842644434,0.08268786552781966,,0.21516197204589843,0.34895034790039064,0.05084991455078125,,0.6149622344970703,883.0505274190147,1259.489719648398,410.03851038652454,
3,1,K1,0,press,top,0.0,0.7,45,200,3,431362,58784,24109,,514255,0.8388097928674214,0.11430920542503949,0.04688100170753912,,6.582059783935547,0.8969733428955078,0.36787071228027346,,7.846903839111328,14532.471901679357,2142.586862410717,1257.7121508417576,
4,1,K1,0,press,middle,0.0,2.0,45,200,3,559451,233392,28637,,821480,0.6810283281319209,0.28411200854038643,0.034859663327692685,,8.536551208496094,3.561286087036133,0.4369587707519531,,12.53479606628418,20379.325641286563,8653.97963927435,1381.914483280351,
5,1,K1,0,press,bottom,0.0,3.3,45,200,3,190428,511778,18480,,720686,0.2642319279098881,0.7101253637582745,0.025642708331837363,,2.9057059478759766,7.809107360839843,0.28198776245117185,,10.996801071166992,7171.920062715075,17945.094371008472,1081.7051065331993,
6,2,K2,0,press,top,0.0,0.7,45,200,3,751611,107156,382532,,1241299,0.6055036126292376,0.08632577918816962,0.30817060818259284,,11.4686727142334,1.6350721740722656,5.836972351074219,,18.940717239379882,30912.586651407466,4952.132888150317,16273.483575055465,
7,2,K2,0,press,middle,0.0,2.0,45,200,3,662652,538182,515440,,1716274,0.38609932964546817,0.31357575485386385,0.30032491550066787,,10.111270294189453,8.212003936767578,7.864987487792969,,26.188261718750002,24779.09260961547,20428.465340497314,17654.55980469635,
8,2,K2,0,press,bottom,0.0,3.3,45,200,3,383687,609799,188427,,1181913,0.3246324590425486,0.5159422014399225,0.15942533951752882,,5.854603118896485,9.304789886474609,2.8751656341552736,,18.034558639526367,16539.177084338266,21149.802298742652,6377.690289123093,
9,3,K3,0,press,top,0.0,0.7,45,200,3,61833,19229,576899,,657962,0.09397647815277582,0.029225661157790683,0.8767978606894334,,0.9434952545166015,0.293416748046875,8.802783813476562,,10.03969581604004,2813.07910944129,1123.0354003325097,22636.442448238195,
10,3,K3,0,press,middle,0.0,2.0,45,200,3,75732,43387,553247,,672366,0.11263547997656188,0.0645294788477875,0.8228350411756506,,1.1555834197998047,0.662040023803711,8.441874008178711,,10.259497451782227,2677.962786480611,2028.5360677037518,17174.4553368069,
11,3,K3,0,press,bottom,0.0,3.3,45,200,3,38698,77888,342964,,459550,0.0842089263506978,0.16948691055044124,0.7463041630988609,,0.5904872131347656,1.1884708404541016,5.233210830688477,,7.012168884277344,1502.4772015242029,3581.812531997592,12484.63068368364,
12,4,K4,0,press,top,0.0,0.7,45,200,3,4477,2411,51601,,58490,0.07654831598680073,0.041218955268881585,0.8822327287443176,,0.06831787109375,0.036787109375,0.7873754119873047,,0.8924803924560547,261.4368979314129,216.62404206366384,2282.7567119110613,
13,4,K4,0,press,middle,0.0,2.0,45,200,3,4873,3605,65532,,74010,0.06584365086898349,0.04870833900540229,0.8854480101256142,,0.07435775756835937,0.0550067138671875,0.9999434661865234,,1.1293079376220703,215.0469667305261,286.5677993075984,2533.5466579431686,
14,4,K4,0,press,bottom,0.0,3.3,45,200,3,3784,4535,34544,,42863,0.08827294145423678,0.10580299333002278,0.8059240652157404,,0.0577337646484375,0.06919906616210937,0.5271041107177734,,0.6540369415283203,153.22698978965815,321.262383574548,1454.6654144424415,
15,0,K0,1,hover-low,top,0.0,0.7,45,200,3,10830,5226,1983,,18039,0.6003495229053918,0.28969434069474953,0.10995613639985863,,0.16524703979492186,0.07973876953125,0.03026557922363281,,0.2752513885498047,777.8343288258753,434.1793205577622,319.3680475172806,
16,0,K0,1,hover-low,middle,0.0,2.0,45,200,3,10864,7453,1961,,20278,0.5357548470136281,0.36754578248787473,0.09669937049849714,,0.16577163696289063,0.11372489929199218,0.029920425415039063,,0.3094169616699219,586.179946688728,439.33075168374,301.25704435747224,
17,0,K0,1,hover-low,bottom,0.0,3.3,45,200,3,7467,10731,1724,,19922,0.3748021350217811,0.5386593093229133,0.08653855565530547,,0.11393470764160156,0.16374504089355468,0.026306533813476564,,0.30398628234863284,498.1796005207359,752.0982362530841,286.15526270715344,
18,1,K1,1,hover-low,top,0.0,0.7,45,200,3,114961,28808,11244,,155012,0.7416246559785574,0.18584121862971506,0.07253412539172738,,1.7541629791259765,0.4395697784423828,0.17156478881835938,,2.365297546386719,4712.525877316219,1255.7916184522812,573.1426882548533,
19,1,K1,1,hover-low,middle,0.0,2.0,45,200,3,150511,69606,13053,,233169,0.6455008649955856,0.2985203167387475,0.055978818265666905,,2.296610641479492,1.062097625732422,0.19916557312011718,,3.5578738403320314,5432.843643928564,2246.5740012516835,576.0670445139177,
20,1,K1,1,hover-low,bottom,0.0,3.3,45,200,3,60676,127955,8531,,197162,0.30774858324425247,0.6489830023799752,0.043268414375772335,,0.925845947265625,1.9524323272705078,0.1301708221435547,,3.0084490966796875,2746.301262134218,5467.025108683423,493.19145306361503,
21,2,K2,1,hover-low,top,0.0,0.7,45,200,3,206337,47866,86410,,340613,0.6057823603786326,0.14052873146525421,0.25368890815611317,,3.1484578704833983,0.7303758239746094,1.3185079193115234,,5.197341613769531,9387.098263189482,2335.8108938653404,3177.1378337703577,
22,2,K2,1,hover-low,middle,0.0,2.0,45,200,3,244389,121625,105925,,471939,0.5178405662944748,0.2577130135581212,0.22444642014740404,,3.7290819549560545,1.85584716796875,1.6162872314453125,,7.201216354370117,10560.722772697662,5338.143246485617,4255.869290756003,
